x,y,success_rate,episodes,successes,ik_failures,avg_height
0.1000,0.0800,0.00,5,0,0,0.0095
0.1000,0.1550,0.00,5,0,0,0.0095
0.1000,0.2300,0.00,5,0,0,0.0095
0.1000,0.3050,0.00,5,0,0,0.0095
0.1000,0.3800,0.00,5,0,0,0.0095
0.1625,0.0800,0.00,5,0,0,0.0125
0.1625,0.1550,0.00,5,0,0,0.0097
0.1625,0.2300,0.00,5,0,0,0.0095
0.1625,0.3050,0.00,5,0,0,0.0095
0.1625,0.3800,0.00,5,0,0,0.0234
0.2250,0.0800,0.00,5,0,0,0.0095
0.2250,0.1550,0.00,5,0,0,0.0096
0.2250,0.2300,0.00,5,0,0,0.0095
0.2250,0.3050,0.00,5,0,0,0.0095
0.2250,0.3800,0.00,5,0,0,0.0215
0.2875,0.0800,0.00,5,0,0,0.0240
0.2875,0.1550,0.00,5,0,0,0.0108
0.2875,0.2300,0.00,5,0,0,0.0095
0.2875,0.3050,0.00,5,0,0,0.0095
0.2875,0.3800,0.00,5,0,0,0.0096
0.3500,0.0800,0.00,5,0,0,0.0120
0.3500,0.1550,0.00,5,0,0,0.0141
0.3500,0.2300,0.00,5,0,0,0.0202
0.3500,0.3050,0.00,5,0,0,0.0255
0.3500,0.3800,0.00,5,0,5,0.0000
