x,y,success_rate,episodes,successes,approached,avg_height,avg_steps_success,ik_error
0.2130,0.2540,0.00,20,0,20,0.0095,0.0,28.60
0.2130,-0.0470,0.00,20,0,0,0.0000,0.0,35.27
