timestamp,model_path,grid_x,grid_y,target_x,target_y,episode,success,steps,block_x,block_y,block_angle,pos_noise,max_steps
2026-02-20T00:10:28.472112,outputs\train\act_dark_ground_220ep\checkpoint_050000,2,4,0.21999999999999997,0.19999999999999998,0,True,156,0.21100574067741812,0.18571020164287644,99.28180634762434,0.02,300
2026-02-20T00:10:28.472112,outputs\train\act_dark_ground_220ep\checkpoint_050000,2,4,0.21999999999999997,0.19999999999999998,1,True,146,0.20816988665283542,0.2166200529778328,165.8801109509039,0.02,300
2026-02-20T00:10:28.472112,outputs\train\act_dark_ground_220ep\checkpoint_050000,2,4,0.21999999999999997,0.19999999999999998,2,True,166,0.22062772045009582,0.2192087392402696,-15.88713998107241,0.02,300
2026-02-20T00:10:28.472112,outputs\train\act_dark_ground_220ep\checkpoint_050000,2,4,0.21999999999999997,0.19999999999999998,3,True,122,0.20107715218974684,0.1913023967288816,-109.73504796319008,0.02,300
2026-02-20T00:10:28.472112,outputs\train\act_dark_ground_220ep\checkpoint_050000,2,4,0.21999999999999997,0.19999999999999998,4,False,300,0.20209622738093294,0.21946578308713638,86.33203945447431,0.02,300
2026-02-20T00:10:28.472112,outputs\train\act_dark_ground_220ep\checkpoint_050000,2,4,0.21999999999999997,0.19999999999999998,5,True,151,0.20955248701773416,0.21460219335968828,110.86018785593676,0.02,300
2026-02-20T00:10:28.472112,outputs\train\act_dark_ground_220ep\checkpoint_050000,2,4,0.21999999999999997,0.19999999999999998,6,True,149,0.23231239543148913,0.18263047951157704,-9.875270756470856,0.02,300
2026-02-20T00:10:28.472112,outputs\train\act_dark_ground_220ep\checkpoint_050000,2,4,0.21999999999999997,0.19999999999999998,7,True,169,0.21299420719595324,0.21524084037143723,-57.320020014842044,0.02,300
2026-02-20T00:10:28.472112,outputs\train\act_dark_ground_220ep\checkpoint_050000,2,4,0.21999999999999997,0.19999999999999998,8,True,170,0.2101817094974303,0.19772496269714152,-75.01004613533492,0.02,300
2026-02-20T00:10:28.472112,outputs\train\act_dark_ground_220ep\checkpoint_050000,2,4,0.21999999999999997,0.19999999999999998,9,True,154,0.20128126374955846,0.19051711535097698,118.70025490342815,0.02,300
